物件ID,種別,物件名,販売価格,所在地,沿線・駅,間取り,土地面積（m2）,建物面積（m2）,坪単価（万円／坪）,URL,情報取得日,築年月（年数換算）,沿線,駅,徒歩,最小最大,追加年月日,削除年月日
3b99b0fe90fb,土地,岐阜県各務原市小佐野町５丁目,189.0,岐阜県各務原市小佐野町５丁目,名鉄各務原線/新那加駅 徒歩23分,,188.0,,3.32,https://myhome.nifty.com/tochi/gifu/kakamigaharashi_ct/detail_a273e49af12c3079bc1b19bb3996e647/,2026-01-17,,名鉄各務原線,新那加,23.0,,2026-01-11,
3b9a06e8f0ca,建物,◆5LDKK◆二世帯住宅としても◆小学校徒歩約10分◆バス停徒歩約6分◆,1450.0,愛知県一宮市木曽川町門間字金屎,名鉄名古屋本線「石刀」徒歩23分,5LDK,128.23,118.41,,https://suumo.jp/chukoikkodate/aichi/sc_ichinomiya/nc_75989253/,2026-01-17,29.9,名鉄名古屋本線,石刀,23.0,,2026-01-11,
3b9d6e2e83c9,建物,愛知県一宮市観音寺１丁目,3180.0,愛知県一宮市観音寺１丁目,名鉄尾西線/観音寺駅 徒歩4分,4LDK,182.31,135.08,57.66,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_5842791beba330aaac3b36e145b808a6/,2026-01-17,19.25,名鉄尾西線,観音寺,4.0,,2026-01-11,
3ba58cdc6fda,建物,◆成約特典：ＪＣＢ商品券8.6万円＆ヤマダ電機特別割引券◆簡単予約可能◆,2890.0,岐阜県岐阜市日野南３-15-3、4、5,名鉄名古屋本線「名鉄岐阜」バス21分停歩5分,4LDK+S,274.25,97.11,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78491037/,2026-01-17,0.0,名鉄名古屋本線,名鉄岐阜,,最大,2026-01-11,
3ba9225d244d,建物,岐阜県各務原市桜木町5丁目,3980.0,岐阜県各務原市桜木町5丁目,名鉄犬山線/新鵜沼駅 徒歩17分,3LDK＋,189.39,99.18,69.47,https://myhome.nifty.com/shinchiku-ikkodate/gifu/kakamigaharashi_ct/detail_844668f7a8f33dcb941b37a030e6e99b/,2026-01-17,0.0,名鉄犬山線,新鵜沼,17.0,,2026-01-11,
3baaa1a0fa44,建物,E’s garden 一宮市千秋町加茂,3680.0,愛知県一宮市千秋町加茂字郷前69-5他,名鉄犬山線「布袋」駅 徒歩28分 自転車約9分,5LDK,162.23,143.34,,https://sumaity.com/house_new/prop_9977928/,2026-01-17,0.0,名鉄犬山線,布袋,28.0,最小,2026-01-11,
3bab94ed3aea,建物,岐阜県岐阜市蔵前,3280.0,岐阜県岐阜市蔵前,名鉄各務原線/手力駅 徒歩7分,3LDK+S,185.19,106.0,58.55,https://myhome.nifty.com/shinchiku-ikkodate/gifu/gifushi_ct/detail_286736cc41e73ac7b97b8ec35e8da0ce/,2026-01-17,0.0,名鉄各務原線,手力,7.0,,2026-01-11,
3bac15bcf5f9,建物,◆見学予約クオカード２千円◆成約特典ＪＣＢ商品券7.5万円◆簡単予約可能◆,2395.0,愛知県一宮市西大海道字柏木26-1,名鉄犬山線「江南」バス14分停歩4分,3LDK+S,180.24,93.36,,https://suumo.jp/ikkodate/aichi/sc_ichinomiya/nc_78945002/,2026-01-17,0.0,名鉄犬山線,江南,,最小,2026-01-11,
3bb935a8147c,土地,岐阜県羽島市福寿町間島,1290.0,岐阜県羽島市福寿町間島,名鉄竹鼻線/竹鼻駅 徒歩22分,,404.19,,10.55,https://myhome.nifty.com/tochi/gifu/hashimashi_ct/detail_58c88bbe9f993db087f5f6da5fa20ee0/,2026-01-17,,名鉄竹鼻線,竹鼻,22.0,,2026-01-11,
3bbff299cd51,土地,愛知県一宮市木曽川町玉ノ井,870.0,愛知県一宮市木曽川町玉ノ井,名鉄尾西線/玉ノ井駅 徒歩7分,,277.96,,10.35,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_153f22e2406931d8ad13aaa512799aa7/,2026-01-17,,名鉄尾西線,玉ノ井,7.0,,2026-01-11,
3bc6e3ef6129,土地,岐阜県岐阜市打越,500.0,岐阜県岐阜市打越,,,283.19,,5.84,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_1f7a3288a784338da797177dacb8cd6a/,2026-01-14,,,,,,2026-01-11,2026/01/17
3bd0aeea1362,建物,【ミタカ不動産】１０年前に内外装リフォーム済！,950.0,岐阜県岐阜市岩崎,岐阜バス「上岩崎 」徒歩4分,5DK,165.73,102.74,,https://suumo.jp/chukoikkodate/gifu/sc_gifu/nc_78746626/,2026-01-17,44.49,岐阜バス,上岩崎 ,4.0,,2026-01-11,
3bd97287d7be,建物,一宮市木曽川町黒田IV（A棟）,4320.0,愛知県一宮市木曽川町黒田字中野黒191番,JR東海道本線「木曽川」駅 徒歩4分,5LDK,152.08,123.38,,https://sumaity.com/house_new/prop_9994266/,2026-01-17,0.0,JR東海道本線,木曽川,4.0,,2026-01-11,
3beacc5cac83,建物,お引越し代サービスor現金6.1万円プレゼント！物件見学で2万円贈呈！,2190.0,愛知県一宮市多加木５-11-14の一部,名鉄名古屋本線「島氏永」徒歩31分,1LDK+2S,111.08,96.39,,https://suumo.jp/ikkodate/aichi/sc_ichinomiya/nc_78200904/,2026-01-11,0.0,名鉄名古屋本線,島氏永,31.0,,2026-01-11,2026/01/14
3bed396b2b05,土地,岐阜県羽島市竹鼻町,998.0,岐阜県羽島市竹鼻町,名鉄竹鼻・羽島線/羽島市役所前駅 徒歩5分,,297.0,,11.11,https://myhome.nifty.com/tochi/gifu/hashimashi_ct/detail_4ab62b08ac5931a4aa89393e1e039754/,2026-01-17,,名鉄竹鼻・羽島線,羽島市役所前,5.0,,2026-01-11,
3bee7b1962af,土地,愛知県一宮市赤見２丁目,1450.0,愛知県一宮市赤見２丁目,,,127.23,,37.68,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_cb44545aec583d6da6636e6c55b0b909/,2026-01-17,,,,,,2026-01-11,
3beea7b78554,土地,●ふれあいバス「下中屋町2丁目」停　徒歩6分♪●土地面積広々の793.38㎡♪（,1920.0,岐阜県各務原市下中屋町３,ふれあいバス「下中屋町2丁目」徒歩6分,,793.38,,8.1,https://suumo.jp/tochi/gifu/sc_kakamigahara/nc_74618421/,2026-01-17,,ふれあいバス,下中屋町2丁目,6.0,,2026-01-11,
3bf1f8d28676,土地,岐阜県岐阜市三田洞東３丁目,543.0,岐阜県岐阜市三田洞東３丁目,,,256.65,,6.99,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_b22b0170315730928709dbcae1d977d8/,2026-01-11,,,,,,2026-01-11,2026/01/14
3bf21ad6c587,建物,岐阜県岐阜市領下５丁目,1580.0,岐阜県岐阜市領下５丁目,名鉄各務原線/細畑駅 徒歩11分,5LDK,133.01,113.44,39.27,https://myhome.nifty.com/chuko-ikkodate/gifu/gifushi_ct/detail_5a5bb7ef45fe3bdb9d00523ba7704a3e/,2026-01-17,0.0,名鉄各務原線,細畑,11.0,,2026-01-11,
3bf2783e6a5f,建物,一宮市あずら3丁目　全1棟,2692.0,愛知県一宮市あずら３丁目,名鉄名古屋本線「妙興寺」駅まで 徒歩 32分,3LDK,165.23,101.84,,https://sumaity.com/house_new/prop_9942601/,2026-01-17,0.0,名鉄名古屋本線,妙興寺,32.0,,2026-01-11,
3bf4290b0d13,土地,岐阜県岐阜市三田洞東1丁目,500.0,岐阜県岐阜市三田洞東1丁目,JR東海道本線/岐阜駅 徒歩3分 バス29分,,211.56,,7.81,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_f56c61b7154733f280969664d8064f44/,2026-01-17,,JR東海道本線,岐阜,3.0,,2026-01-11,
3bf4ecc011bc,土地,愛知県一宮市木曽川町里小牧字西青木,535.0,愛知県一宮市木曽川町里小牧字西青木,名鉄名古屋本線/新木曽川駅 徒歩17分,,295.0,,6.0,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_4b0fc70188813df089b6d55bb6ae8095/,2026-01-17,,名鉄名古屋本線,新木曽川,17.0,,2026-01-11,
3bf783172f8f,土地,岐阜県岐阜市鏡島中,286.0,岐阜県岐阜市鏡島中,JR東海道本線/岐阜駅 徒歩6分 バス50分,,144.38,,6.55,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_3414555690a13944a88534e16ae248c8/,2026-01-17,,JR東海道本線,岐阜,6.0,,2026-01-11,
3c00b4f59d58,建物,岐阜県岐阜市石谷,430.0,岐阜県岐阜市石谷,東海道本線/岐阜駅 徒歩43分 バス30分,4K,166.11,63.75,8.56,https://myhome.nifty.com/chuko-ikkodate/gifu/gifushi_ct/detail_146606d0646f3f43a0e44e9d36f49ab5/,2026-01-11,52.25,東海道本線,岐阜,43.0,,2026-01-11,2026/01/14
3c02d55b08af,建物,愛知県一宮市木曽川町黒田,3799.0,愛知県一宮市木曽川町黒田,JR東海道本線/木曽川駅 徒歩7分,4LDK,126.45,103.5,99.32,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_3213f5a69c723561941840c44fb3fbb9/,2026-01-17,0.0,JR東海道本線,木曽川,7.0,,2026-01-11,
3c0d46cadcfa,建物,E's garden 一宮市瀬部II,3230.0,愛知県一宮市瀬部字夏目塚13-2他,名鉄犬山線「江南」駅 徒歩42分 自転車約14分,5LDK,160.68,140.45,,https://sumaity.com/house_new/prop_9840272/,2026-01-17,0.0,名鉄犬山線,江南,42.0,最小,2026-01-11,
3c106fd428a1,土地,◆敷地約268坪！◆お気軽にお問い合わせください。,4828.0,愛知県一宮市東島町３,JR東海道本線「尾張一宮」徒歩38分,,939.0,,17.0,https://suumo.jp/tochi/aichi/sc_ichinomiya/nc_78929834/,2026-01-17,,JR東海道本線,尾張一宮,38.0,,2026-01-11,
3c1092e60200,土地,岐阜県岐阜市長良,1800.0,岐阜県岐阜市長良,名鉄名古屋本線/名鉄岐阜駅 徒歩82分,,210.91,,28.21,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_cb67146d15a23da382726d54bdd1eafe/,2026-01-14,,名鉄名古屋本線,名鉄岐阜,82.0,,2026-01-11,2026/01/17
3c13ed4f13d2,土地,岐阜県岐阜市南鶉７丁目,870.0,岐阜県岐阜市南鶉７丁目,,,213.25,,13.49,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_b60d8a244c0530f0836d4ece26294453/,2026-01-17,,,,,,2026-01-11,
3c14058e5623,土地,岐阜県岐阜市柳津町下佐波６丁目,1080.0,岐阜県岐阜市柳津町下佐波６丁目,名鉄竹鼻線/南宿駅 徒歩23分,,446.28,,8.0,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_76115c643e0839ac849e80bec36a11b7/,2026-01-17,,名鉄竹鼻線,南宿,23.0,,2026-01-11,
3c1a13b13b33,建物,岐阜県岐阜市日光町,3280.0,岐阜県岐阜市日光町,"JR東海道本線/岐阜駅,JR東海道本線/西岐阜駅",5LDK,210.25,137.45,51.57,https://myhome.nifty.com/chuko-ikkodate/gifu/gifushi_ct/detail_597f6f136c88310684c7d4402bafe463/,2026-01-17,7.58,JR東海道本線,岐阜,,,2026-01-11,
3c1da70c3291,建物,＼今日見学したい／などお気軽に　■南面道路、土地237㎡■カースペース3台,2490.0,岐阜県羽島市堀津町須賀中45,名鉄羽島線「新羽島」徒歩20分,4LDK,237.2,107.64,,https://suumo.jp/ikkodate/gifu/sc_hashima/nc_77644823/,2026-01-17,0.0,名鉄羽島線,新羽島,20.0,,2026-01-11,
3c1eae543bae,建物,＼即日案内可能／並列４台駐車◎南向きの全５棟！長期優良住宅☆,2980.0,岐阜県岐阜市西鶉６,JR東海道本線「岐阜」バス24分停歩4分,5LDK,175.21,111.27,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_79054728/,2026-01-17,0.0,JR東海道本線,岐阜,,最小,2026-01-11,
3c2207b9cec2,土地,岐阜県岐阜市古市場,542.0,岐阜県岐阜市古市場,,,274.86,,6.52,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_1114c667613e3adca66f687308fac02f/,2026-01-17,,,,,,2026-01-11,
3c222f517713,建物,お引越し代サービスor現金12.1万円プレゼント！物件見学で2万円贈呈！,4180.0,岐阜県岐阜市加納前田町22-2,JR東海道本線「岐阜」徒歩11分,5LDK,92.65,127.54,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78683960/,2026-01-17,0.0,JR東海道本線,岐阜,11.0,,2026-01-11,2026/01/14
3c255db1a2dc,建物,＼今日見学したい／などお気軽に□平屋建て！□LDK16帖、WIC×3,2780.0,岐阜県羽島市竹鼻町錦町48番,名鉄竹鼻線「羽島市役所前」徒歩8分,4LDK,241.26,95.65,,https://suumo.jp/ikkodate/gifu/sc_hashima/nc_78456488/,2026-01-17,0.0,名鉄竹鼻線,羽島市役所前,8.0,,2026-01-11,
3c28d58e4b71,土地,岐阜県岐阜市石原３丁目,460.0,岐阜県岐阜市石原３丁目,,,253.42,,6.0,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_b86af9ebd807370fa758ea8a8b7e687f/,2026-01-17,,,,,,2026-01-11,
3c33682994e4,建物,岐阜県瑞穂市本田,2880.0,岐阜県瑞穂市本田,樽見鉄道/美江寺駅 徒歩4分 バス4分,4SLDK,244.16,120.08,38.99,https://myhome.nifty.com/shinchiku-ikkodate/gifu/mizuhoshi_ct/detail_21c7de0e7ed13582a66fcf93accd5d11/,2026-01-17,0.0,樽見鉄道,美江寺,4.0,,2026-01-11,
3c365627ae22,土地,愛知県一宮市木曽川町玉ノ井字四ツ辻東,990.0,愛知県一宮市木曽川町玉ノ井字四ツ辻東,名鉄尾西線/玉ノ井駅 徒歩4分,,150.38,,21.76,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_9db8fd6ca78d31ffafe673c7f7e5fcf3/,2026-01-17,,名鉄尾西線,玉ノ井,4.0,,2026-01-11,
3c3f82606b23,土地,愛知県一宮市起字河田揚,840.0,愛知県一宮市起字河田揚,名鉄名古屋本線/名鉄一宮駅 徒歩3分 バス20分,,228.98,,12.13,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_dcf87946f73f35939116e0535efe6a4b/,2026-01-17,,名鉄名古屋本線,名鉄一宮,3.0,,2026-01-11,
3c3fa3d036f3,建物,家族でゆったり暮らせる5LDKのゆとりある間取り家族を守る、耐震等級3,4140.0,岐阜県岐阜市朝霧町,名鉄名古屋本線「岐南」徒歩12分,5LDK,147.58,124.22,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78949225/,2026-01-17,0.0,名鉄名古屋本線,岐南,12.0,最小,2026-01-11,
3c41761b6c76,土地,岐阜県岐阜市益屋町,750.0,岐阜県岐阜市益屋町,名鉄名古屋本線/名鉄岐阜駅 徒歩3分 バス10分,,84.14,,29.47,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_77f4f7414a993947b2a06ea5c66ed5ff/,2026-01-17,,名鉄名古屋本線,名鉄岐阜,3.0,,2026-01-11,
3c4a16a2fdf5,土地,岐阜県瑞穂市馬場上光町３丁目,1600.0,岐阜県瑞穂市馬場上光町３丁目,東海道本線/穂積駅 徒歩24分,,247.66,,21.36,https://myhome.nifty.com/tochi/gifu/mizuhoshi_ct/detail_276a9cd0a0cb37128e9f44f7b720cf61/,2026-01-17,,東海道本線,穂積,24.0,,2026-01-11,
3c55a76f54ea,建物,愛知県一宮市今伊勢町馬寄,5280.0,愛知県一宮市今伊勢町馬寄,名鉄名古屋本線/石刀駅 徒歩11分,3LDK+S,144.59,99.61,120.72,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_f66e90f5e6db378c87ff0cb64ef9a606/,2026-01-17,0.0,名鉄名古屋本線,石刀,11.0,,2026-01-11,
3c59494b1fee,建物,【見学会開催】【内外装リフォーム済】年度内入居可。普通車並列2台駐車可能,1580.0,岐阜県羽島市竹鼻町飯柄409-3,名鉄竹鼻線「江吉良」徒歩27分,4LDK,196.59,96.88,,https://suumo.jp/chukoikkodate/gifu/sc_hashima/nc_76840376/,2026-01-17,42.07,名鉄竹鼻線,江吉良,27.0,,2026-01-11,
3c6113b00c7e,建物,愛知県一宮市定水寺,3280.0,愛知県一宮市定水寺,名鉄犬山線/布袋駅 徒歩47分,3LDK,177.89,107.23,60.95,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_e422fadf381f3f2a891eced328912260/,2026-01-17,0.0,名鉄犬山線,布袋,47.0,,2026-01-11,
3c6a0e903d8f,土地,岐阜県岐阜市領下,1007.0,岐阜県岐阜市領下,名鉄各務原線/細畑駅 徒歩10分,,370.24,,8.99,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_ea1fa2467b673eb896526a1a06173a03/,2026-01-11,,名鉄各務原線,細畑,10.0,,2026-01-11,2026/01/14
3c7085d79e54,土地,◆敷地広々８７坪！◆お好きなハウスメーカーで建てられます♪,1380.0,愛知県一宮市今伊勢町馬寄字上畑田,名鉄名古屋本線「石刀」徒歩20分,,288.29,,15.9,https://suumo.jp/tochi/aichi/sc_ichinomiya/nc_77751387/,2026-01-17,,名鉄名古屋本線,石刀,20.0,,2026-01-11,
3c7f7f0deaf5,土地,岐阜県羽島市竹鼻町,860.0,岐阜県羽島市竹鼻町,名鉄竹鼻・羽島線/羽島市役所前駅 徒歩12分,,201.41,,14.12,https://myhome.nifty.com/tochi/gifu/hashimashi_ct/detail_07be649322153c65928f4d3a38d466f4/,2026-01-17,,名鉄竹鼻・羽島線,羽島市役所前,12.0,,2026-01-11,
3c8586cf94b3,土地,岐阜県羽島市竹鼻町,2380.0,岐阜県羽島市竹鼻町,名鉄竹鼻・羽島線/羽島市役所前駅 徒歩2分,,1371.66,,5.74,https://myhome.nifty.com/tochi/gifu/hashimashi_ct/detail_4f25a09efcac39019627030dba678892/,2026-01-17,,名鉄竹鼻・羽島線,羽島市役所前,2.0,,2026-01-11,
3c885bcfe645,土地,岐阜県羽島市福寿町浅平,755.0,岐阜県羽島市福寿町浅平,名鉄竹鼻・羽島線/羽島市役所前駅 徒歩10分,,312.0,,8.0,https://myhome.nifty.com/tochi/gifu/hashimashi_ct/detail_4075dede48de386cb1fb67d57926521b/,2026-01-17,,名鉄竹鼻・羽島線,羽島市役所前,10.0,,2026-01-11,
3c90dee1c5e5,土地,岐阜県羽島市小熊町天王１丁目,2200.0,岐阜県羽島市小熊町天王１丁目,名鉄竹鼻・羽島線/竹鼻駅 徒歩26分,,1100.0,,6.61,https://myhome.nifty.com/tochi/gifu/hashimashi_ct/detail_7a8a85c232d338c7801d6049e0bf5dc1/,2026-01-17,,名鉄竹鼻・羽島線,竹鼻,26.0,,2026-01-11,
3c96160b6e79,建物,【見学可能】大和ハウス施工物件！駐車3台可能♪収納たっぷりの美邸♪,2480.0,岐阜県各務原市蘇原清住町４,JR高山本線「蘇原」徒歩42分,4LDK,199.78,107.85,,https://suumo.jp/chukoikkodate/gifu/sc_kakamigahara/nc_78780811/,2026-01-17,13.64,JR高山本線,蘇原,42.0,,2026-01-11,
3c973103c609,建物,岐阜県各務原市那加琴が丘町１丁目,980.0,岐阜県各務原市那加琴が丘町１丁目,名鉄各務原線/新加納駅 徒歩31分,5LDK,243.0,112.01,13.33,https://myhome.nifty.com/chuko-ikkodate/gifu/kakamigaharashi_ct/detail_dbb3191628493106a173e9a26c75214e/,2026-01-17,50.42,名鉄各務原線,新加納,31.0,,2026-01-11,
3c9e7388627a,土地,岐阜県岐阜市野一色８丁目,589.0,岐阜県岐阜市野一色８丁目,,,486.0,,4.01,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_c53f8ba1acb933a1b1ff6a5d762ce2c9/,2026-01-17,,,,,,2026-01-11,
3c9f4472f114,建物,岐阜市島田　～リーブルガーデン～,2580.0,岐阜県岐阜市島田１,JR東海道本線「岐阜」駅 バス17分「大縄場大橋西」バス停 徒歩5分,5LDK,185.56,106.0,,https://sumaity.com/house_new/prop_10077504/,2026-01-17,0.0,JR東海道本線,岐阜,44.0,最大,2026-01-11,
3c9f7ed02bb3,建物,岐阜県各務原市鵜沼台４丁目,1500.0,岐阜県各務原市鵜沼台４丁目,JR高山本線/鵜沼駅 徒歩13分,4LDK,135.4,125.03,36.62,https://myhome.nifty.com/chuko-ikkodate/gifu/kakamigaharashi_ct/detail_e168c19de1db392096f0be0f8b1985b4/,2026-01-17,28.83,JR高山本線,鵜沼,13.0,,2026-01-11,
3ca8f4910241,建物,岐阜県岐阜市中鶉７丁目,3480.0,岐阜県岐阜市中鶉７丁目,名鉄竹鼻・羽島線/柳津駅 徒歩1分 バス35分,4SLDK,181.83,123.06,63.27,https://myhome.nifty.com/shinchiku-ikkodate/gifu/gifushi_ct/detail_f42378ba655a356dbb2d6d49f8fc6f5f/,2026-01-17,0.0,名鉄竹鼻・羽島線,柳津,1.0,,2026-01-11,
3cac48cc0325,建物,愛知県一宮市松降,4998.0,愛知県一宮市松降,JR東海道本線/尾張一宮駅 徒歩16分,4LDK,140.27,97.7,117.79,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_42ee79a2c60235acae148b511a747409/,2026-01-17,0.0,JR東海道本線,尾張一宮,16.0,,2026-01-11,
3cac8b7db0a9,建物,岐阜県各務原市那加東新町２丁目,980.0,岐阜県各務原市那加東新町２丁目,名鉄各務原線/六軒駅 徒歩9分,4DK,142.75,117.47,22.69,https://myhome.nifty.com/chuko-ikkodate/gifu/kakamigaharashi_ct/detail_a15790ac4852382282358040e6e12a14/,2026-01-17,38.08,名鉄各務原線,六軒,9.0,,2026-01-11,
3cb18395d703,建物,岐阜県岐阜市大洞桜台８丁目,548.0,岐阜県岐阜市大洞桜台８丁目,,6DK,224.61,120.41,8.07,https://myhome.nifty.com/chuko-ikkodate/gifu/gifushi_ct/detail_c34439a1ea1139358f91951b9c3f9166/,2026-01-17,0.0,,,,,2026-01-11,
3cb36a45d6a3,建物,一宮市乾町　4号棟　全4棟,2190.0,愛知県一宮市乾町,名鉄名古屋本線「石刀」駅まで 徒歩 22分,4LDK,122.19,106.0,59.25,https://sumaity.com/house_new/prop_9760024/,2026-01-17,0.0,名鉄名古屋本線,石刀,22.0,,2026-01-11,
3cb4868f7b43,土地,溝口上 688万円,688.0,岐阜県岐阜市溝口上,岐阜バス「溝口」徒歩3分,,283.91,,8.1,https://suumo.jp/tochi/gifu/sc_gifu/nc_79052496/,2026-01-17,,岐阜バス,溝口,3.0,,2026-01-11,
3cb99e953189,建物,岐阜県瑞穂市犀川,2490.0,岐阜県瑞穂市犀川,樽見鉄道/横屋駅 徒歩35分,4LDK,233.29,101.85,35.28,https://myhome.nifty.com/shinchiku-ikkodate/gifu/mizuhoshi_ct/detail_bf769c65110c313485b1ac46f2b42df1/,2026-01-17,0.0,樽見鉄道,横屋,35.0,,2026-01-11,
3cba29610041,建物,岐阜県岐阜市日野東,650.0,岐阜県岐阜市日野東,"JR高山本線/長森駅,名鉄各務原線/新那加駅",3LDK,136.36,105.83,15.76,https://myhome.nifty.com/chuko-ikkodate/gifu/gifushi_ct/detail_cce472b9322837e885b50e907d0f405a/,2026-01-17,56.83,JR高山本線,長森,,,2026-01-11,
3cba7e07f8a0,建物,愛知県一宮市伝法寺７丁目,3290.0,愛知県一宮市伝法寺７丁目,東海道本線/稲沢駅 徒歩32分,4LDK,180.03,100.85,60.41,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_75d2ba89299a37dcba7159dbe6765fdb/,2026-01-17,0.0,東海道本線,稲沢,32.0,,2026-01-11,
3cc934ae13c0,建物,岐阜県各務原市鵜沼南町,3000.0,岐阜県各務原市鵜沼南町,名鉄各務原線/新鵜沼駅 徒歩5分,3DK,200.14,99.37,49.55,https://myhome.nifty.com/chuko-ikkodate/gifu/kakamigaharashi_ct/detail_26d9ea0cbc8435a1b5495807aa94ea42/,2026-01-17,5.67,名鉄各務原線,新鵜沼,5.0,,2026-01-11,
3ccb819c45ee,土地,建築条件なし～お好きな建築会社にて建築可能～・住宅用地・上水道引込済み,930.0,愛知県一宮市丹羽字井端,名鉄名古屋本線「石刀」徒歩45分,,161.99,,19.0,https://suumo.jp/tochi/aichi/sc_ichinomiya/nc_79067024/,2026-01-17,,名鉄名古屋本線,石刀,45.0,,2026-01-11,
3ccb8b899196,建物,【現地販売会社のピュアフィールド】最寄りの完成物件をご見学頂けます！,2190.0,愛知県一宮市篭屋５-2番8の一部,名鉄尾西線「開明」徒歩25分,4LDK,103.72,95.58,,https://suumo.jp/ikkodate/aichi/sc_ichinomiya/nc_78570003/,2026-01-17,0.0,名鉄尾西線,開明,25.0,最小,2026-01-11,
3cd45d419269,土地,愛知県一宮市浅井町河端字流,1000.0,愛知県一宮市浅井町河端字流,東海道本線/尾張一宮駅 徒歩7分 バス20分,,352.0,,9.39,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_f429f37def7235adb752b62a65dbdeb7/,2026-01-17,,東海道本線,尾張一宮,7.0,,2026-01-11,
3cdfb55f729f,土地,岐阜県岐阜市福富迎田,598.0,岐阜県岐阜市福富迎田,,,661.0,,2.99,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_d1bd58ac2ca63d4580780fa762e3808c/,2026-01-17,,,,,,2026-01-11,
3ce5bf9ea98b,土地,岐阜県岐阜市松山町,439.0,岐阜県岐阜市松山町,,,170.48,,8.51,https://myhome.nifty.com/tochi/gifu/gifushi_ct/detail_ad38ef7b9b383dababfaa66b59ade73c/,2026-01-11,,,,,,2026-01-11,2026/01/14
3ce68ab1e487,建物,愛知県一宮市馬見塚,4400.0,愛知県一宮市馬見塚,名鉄名古屋本線/妙興寺駅 徒歩29分,3LDK,272.36,109.71,53.41,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_a9fad2e607663a58887f26ae0b966e11/,2026-01-17,1.5,名鉄名古屋本線,妙興寺,29.0,,2026-01-11,
3ce79d0e9793,建物,愛知県一宮市大和町馬引,3790.0,愛知県一宮市大和町馬引,名鉄尾西線/開明駅 徒歩19分,2LDK+2S,130.46,102.28,96.04,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_061a8d93485b388582204b55c0e8b568/,2026-01-17,0.0,名鉄尾西線,開明,19.0,,2026-01-11,
3d018bfe3ef1,土地,岐阜県羽島郡笠松町田代,1350.0,岐阜県羽島郡笠松町田代,名鉄名古屋本線/笠松駅 徒歩26分,,223.32,,19.98,https://myhome.nifty.com/tochi/gifu/hashimagunkasamatsucho_ct/detail_02ccfa0ad9693ccb8ebb6a3485a9211b/,2026-01-17,,名鉄名古屋本線,笠松,26.0,,2026-01-11,
3d01b5300fe9,建物,◆成約特典：ＪＣＢ商品券8.6万円＆ヤマダ電機特別割引券◆簡単予約可能◆,2690.0,岐阜県岐阜市日野南３-15-3、4、5,名鉄名古屋本線「名鉄岐阜」バス21分停歩5分,4LDK,274.25,97.11,,https://suumo.jp/ikkodate/gifu/sc_gifu/nc_78491037/,2026-01-17,0.0,名鉄名古屋本線,名鉄岐阜,,最小,2026-01-11,
3d02cdb7cdcb,建物,愛知県一宮市馬見塚字郷前,3980.0,愛知県一宮市馬見塚字郷前,名鉄名古屋本線/妙興寺駅 徒歩26分,4LDK,175.94,125.47,74.78,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_78655621771a36178c08bbe31a245723/,2026-01-17,0.0,名鉄名古屋本線,妙興寺,26.0,,2026-01-11,
