エリア,物件名,価格,所在地,沿線・駅,土地面積,建物面積,間取り,築年月,URL,情報取得日
愛知県一宮市,愛知県一宮市東加賀野井,2090万円,愛知県一宮市東加賀野井,名鉄尾西線/萩原駅 徒歩9分 バス13分,173.38m2,95.58m2,4LDK,1ヶ月,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_ca2fb767ced73fcf8b21c3e043107798/,2026-02-01
愛知県一宮市,愛知県一宮市南小渕,5880万円,愛知県一宮市南小渕,名鉄名古屋本線/名鉄一宮駅 徒歩8分 バス11分,376.66m2,144.57m2,3LDK+S（納戸）,5年6ヶ月,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_ca31f047435b3cdfacb42ff87ad03aa7/,2026-02-01
愛知県一宮市,愛知県一宮市長島町５丁目,800万円,愛知県一宮市長島町５丁目,東海道本線/尾張一宮駅 徒歩2分 バス11分,123.35m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_ca4ad19e6b7d3551919e2782dc5480f6/,2026-02-01
愛知県一宮市,愛知県一宮市丹陽町重吉字鋳物師海道,"1,750万円",愛知県一宮市丹陽町重吉字鋳物師海道,名鉄犬山線/岩倉駅,825.0m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_ca64703864ec3490bd78a37f284ec1a0/,2026-02-01
愛知県一宮市,愛知県一宮市伝法寺１１丁目,"1,890万円",愛知県一宮市伝法寺１１丁目,名鉄犬山線/大山寺駅 徒歩37分,159.71m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_b3d5d50afcd13e949c3089012885f295/,2026-02-01
愛知県一宮市,愛知県一宮市浅井町小日比野,2790万円,愛知県一宮市浅井町小日比野,名鉄犬山線/江南駅 徒歩46分,160.77m2,109.73m2,4LDK,-,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_b41f41dcea33392487468489149881bc/,2026-02-01
愛知県一宮市,愛知県一宮市小信中島,1380万円,愛知県一宮市小信中島,名鉄尾西線/奥町駅 徒歩24分,198.55m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_b423900c49a53704868061ca1acaf3cb/,2026-02-01
愛知県一宮市,愛知県一宮市木曽川町玉ノ井,1350万円,愛知県一宮市木曽川町玉ノ井,名鉄尾西線/玉ノ井駅 徒歩10分,240.15m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_b42f20b2cba33fa98e92bb0b9f971664/,2026-02-01
愛知県一宮市,愛知県一宮市木曽川町黒田,4099万円,愛知県一宮市木曽川町黒田,ＪＲ東海道本線/木曽川駅 徒歩7分,118.88m2,105.16m2,5LDK,新築,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_b43916b33dcf3a3fbcc12e359101c2b3/,2026-02-01
愛知県一宮市,愛知県一宮市春明字円光寺,"2,090万円",愛知県一宮市春明字円光寺,名鉄犬山線/布袋駅 徒歩25分,162.01m2,105.16m2,4LDK,6年9ヶ月,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_b43aec73d2723481bc57c1d7480b2d02/,2026-02-01
愛知県一宮市,愛知県一宮市篭屋,3880万円,愛知県一宮市篭屋,名鉄尾西線/開明駅,201.93m2,143.27m2,5LDK,4ヶ月,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_b4683f8338203a3bb85e03a1f75cf1e9/,2026-02-01
愛知県一宮市,愛知県一宮市浅井町黒岩字砂原,592万円,愛知県一宮市浅井町黒岩字砂原,名鉄名古屋本線/名鉄一宮駅 徒歩4分 バス30分,390.74m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_b46f8bd6a3943bf199cc93c5ed1188e6/,2026-02-01
愛知県一宮市,愛知県一宮市千秋町加納馬場字魚目,"3,414万円",愛知県一宮市千秋町加納馬場字魚目,名鉄犬山線/石仏駅 徒歩19分,403.11m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_b470a3b5133238bc8cef4f1c298d9052/,2026-02-01
愛知県一宮市,愛知県一宮市柳戸町,2190万円,愛知県一宮市柳戸町,名鉄名古屋本線/妙興寺駅 徒歩14分,136.24m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_b47d588fd29836b1af4b7018f17a7a0d/,2026-02-01
愛知県一宮市,愛知県一宮市今伊勢町本神戸,1580万円,愛知県一宮市今伊勢町本神戸,名鉄名古屋本線/今伊勢駅 徒歩17分,150.88m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_b48b664ac00b33a483aee6d25dbbc67b/,2026-02-01
愛知県一宮市,愛知県一宮市浅井町尾関字同者,"1,200万円",愛知県一宮市浅井町尾関字同者,名鉄名古屋本線/新木曽川駅,429.75m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_b494484e8a8b34318606d4459289033c/,2026-02-01
愛知県一宮市,愛知県一宮市日光町,"3,630万円",愛知県一宮市日光町,名鉄名古屋本線/名鉄一宮駅 徒歩22分,130.94m2,100.44m2,3LDK,新築,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_b49ca4e239d83b3ab05b0270e6ac6e9c/,2026-02-01
愛知県一宮市,愛知県一宮市木曽川町黒田,4220万円,愛知県一宮市木曽川町黒田,ＪＲ東海道本線/木曽川駅 徒歩9分,152.08m2,123.38m2,5LDK,7ヶ月,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_b54e02ed54e833d0a355e45400520df0/,2026-02-01
愛知県一宮市,愛知県一宮市千秋町穂積塚本字宮西21-1,"1,430万円",愛知県一宮市千秋町穂積塚本字宮西21-1,名鉄犬山線/石仏駅 徒歩24分,215.33m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_b5530b11ca8b388c910aeec8fbbe4d85/,2026-02-01
愛知県一宮市,愛知県一宮市馬見塚字郷前,"2,290万円",愛知県一宮市馬見塚字郷前,名鉄名古屋本線/妙興寺駅 徒歩30分,96.86m2,96.86m2,3LDK,9ヶ月,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_b55f5352e1c8329ca88bbd320b2d8388/,2026-02-01
愛知県一宮市,愛知県一宮市浅野字野口,"1,180万円",愛知県一宮市浅野字野口,東海道本線/尾張一宮駅 徒歩5分 バス11分,191.8m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_b56b3f22e6ba3de49886b8f6272fbcd5/,2026-02-01
愛知県一宮市,愛知県一宮市木曽川町内割田,2766万円,愛知県一宮市木曽川町内割田,名鉄名古屋本線/新木曽川駅 徒歩7分,240.69m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_b5a332103d803bdf9eeff74aedb09411/,2026-02-01
愛知県一宮市,愛知県一宮市蓮池,2390万円,愛知県一宮市蓮池,名鉄尾西線/萩原駅 徒歩34分,161.74m2,96.78m2,4LDK+S（納戸）,新築,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_b5bed882a80c33c0a6fff1af0fc992c8/,2026-02-01
愛知県一宮市,愛知県一宮市今伊勢町宮後字郷中,"3,770万円",愛知県一宮市今伊勢町宮後字郷中,名鉄名古屋本線/今伊勢駅 徒歩9分,114.63m2,122.6m2,5LDK,1年6ヶ月,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_b5ccfc268dc23222881ca6747eea3ef0/,2026-02-01
愛知県一宮市,愛知県一宮市木曽川町玉ノ井字高畑一ノ切,"4,480万円",愛知県一宮市木曽川町玉ノ井字高畑一ノ切,名鉄尾西線/玉ノ井駅 徒歩3分,532.22m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_b5d37fe0500e38c2ad8556e64b7104e2/,2026-02-01
愛知県一宮市,愛知県一宮市起字西茜屋,900万円,愛知県一宮市起字西茜屋,名鉄名古屋本線/名鉄一宮駅 徒歩1分 バス24分,169.42m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_b5dc430b46083176bf7bc758a779677e/,2026-02-01
愛知県一宮市,愛知県一宮市緑,3480万円,愛知県一宮市緑,ＪＲ東海道本線/尾張一宮駅 徒歩31分,148.34m2,130.0m2,5LDK,14年3ヶ月,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_be210b2922e3354ba33fa45ef54ebdb0/,2026-02-01
愛知県一宮市,愛知県一宮市北方町中島字宮浦,760万円,愛知県一宮市北方町中島字宮浦,名鉄名古屋本線/木曽川堤駅 徒歩5分,502.0m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_be525ab48be83c198b6b40c766b66b8d/,2026-02-01
愛知県一宮市,愛知県一宮市常願通,1590万円,愛知県一宮市常願通,名鉄名古屋本線/今伊勢駅 徒歩23分,198.12m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_be836a62e22a31c1a8078f7057ebd35c/,2026-02-01
愛知県一宮市,愛知県一宮市笹野字東出野立,"2,150万円",愛知県一宮市笹野字東出野立,名鉄名古屋本線/名鉄一宮駅 徒歩3分 バス21分,889.0m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_be96630e6d19328ea6f42f6580d70436/,2026-02-01
愛知県一宮市,愛知県一宮市大和町妙興寺,2398万円,愛知県一宮市大和町妙興寺,名鉄名古屋本線/妙興寺駅 徒歩20分,245.53m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_bef5d182a38f3fba8827e79984587f8a/,2026-02-01
愛知県一宮市,愛知県一宮市千秋町勝栗字五坊野,600万円,愛知県一宮市千秋町勝栗字五坊野,名鉄犬山線/布袋駅 徒歩25分,248.0m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_bf1967ffcfce3e1aa102ccd724ce3b42/,2026-02-01
愛知県一宮市,愛知県一宮市本町通８丁目,"6,480万円",愛知県一宮市本町通８丁目,東海道本線/尾張一宮駅 徒歩8分,329.42m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_bf312deaac8c37b1974bab130115351b/,2026-02-01
愛知県一宮市,愛知県一宮市八幡４丁目,2930〜3740万円,愛知県一宮市八幡４丁目,名鉄尾西線/西一宮駅 徒歩8分,131.08m2,,-,-,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_bf368eb23f543a25b910be8547ff33ac/,2026-02-01
愛知県一宮市,愛知県一宮市馬見塚字郷前,"3,190万円",愛知県一宮市馬見塚字郷前,名鉄名古屋本線/妙興寺駅 徒歩30分,140.54m2,96.06m2,3LDK,3年5ヶ月,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_bf5fdd2f141c3b25baf07e4196959d9d/,2026-02-01
愛知県一宮市,愛知県一宮市西五城,2540万円,愛知県一宮市西五城,名鉄尾西線/奥町駅 徒歩19分 バス3分,200.32m2,100.83m2,4LDK,新築,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_bf73d2cf385034908baa27a3d6482764/,2026-02-01
愛知県一宮市,愛知県一宮市開明字出屋敷,"1,300万円",愛知県一宮市開明字出屋敷,名鉄尾西線/奥町駅 徒歩11分,132.3m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_bf7b337551cf3092b7617017161722ab/,2026-02-01
愛知県一宮市,愛知県一宮市萩原町花井方字郷浦,980万円,愛知県一宮市萩原町花井方字郷浦,名鉄尾西線/二子駅 徒歩25分,160.0m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_bf7d27315b5332d5a513c7c81637bc07/,2026-02-01
愛知県一宮市,愛知県一宮市開明,690万円,愛知県一宮市開明,名鉄尾西線/奥町駅 徒歩15分,126.2m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_bf97c1cb5f8f3b3ba0354fb93868479d/,2026-02-01
愛知県一宮市,愛知県一宮市大和町於保字二之宮,338.8万円,愛知県一宮市大和町於保字二之宮,名鉄名古屋本線/島氏永駅 徒歩7分,160.0m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_bfa84e148c673cbeb9926611551b0594/,2026-02-01
愛知県一宮市,愛知県一宮市住吉,3680万円,愛知県一宮市住吉,名鉄尾西線/観音寺駅 徒歩13分,118.71m2,111.78m2,4LDK+S（納戸）,7年11ヶ月,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_bfcc87fd5387300ab8c5238801630a60/,2026-02-01
愛知県一宮市,愛知県一宮市萩原町戸苅字上畑,"5,500万円",愛知県一宮市萩原町戸苅字上畑,名鉄尾西線/萩原駅 徒歩8分,1352.45m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_bfe68078fae43196ae9a67b242018aea/,2026-02-01
愛知県一宮市,愛知県一宮市木曽川町里小牧字下町場,"1,090万円",愛知県一宮市木曽川町里小牧字下町場,名鉄尾西線/玉ノ井駅 徒歩18分,270.0m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_c4a2bf9876ba3fa2824224213b6dfcb1/,2026-02-01
愛知県一宮市,愛知県一宮市馬見塚,2290万円,愛知県一宮市馬見塚,ＪＲ東海道本線/尾張一宮駅 徒歩9分 バス11分,96.82m2,84.45m2,3LDK,9ヶ月,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_c4b6df7aef1232fc98685d5b50dee129/,2026-02-01
愛知県一宮市,愛知県一宮市萩原町花井方字平,780万円,愛知県一宮市萩原町花井方字平,名鉄尾西線/二子駅 徒歩27分,360.5m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_c4e9b2982a9732acb32d6b927f88c532/,2026-02-01
愛知県一宮市,愛知県一宮市千秋町天摩字神明西,373万円,愛知県一宮市千秋町天摩字神明西,名鉄犬山線/石仏駅 徒歩24分,247.0m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_c501abb76ede32b4ae8d0beb76e8551c/,2026-02-01
愛知県一宮市,愛知県一宮市西五城,2880万円,愛知県一宮市西五城,名鉄尾西線/二子駅 徒歩6分 バス19分,182.69m2,112.63m2,4LDK,3ヶ月,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_c518c99c866b3e568da7cb03430a3f31/,2026-02-01
愛知県一宮市,愛知県一宮市浅井町大日比野字東屋敷,500万円,愛知県一宮市浅井町大日比野字東屋敷,,310.36m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_c51a28d39ea8375d8d3588c30ced9872/,2026-02-01
愛知県一宮市,愛知県一宮市冨田字下本郷,"2,350万円",愛知県一宮市冨田字下本郷,名鉄尾西線/二子駅,521.0m2,198.36m2,6LDK,27年11ヶ月,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_c53d11f0ae57351597d44588a66c1a9c/,2026-02-01
愛知県一宮市,愛知県一宮市木曽川町黒田字北宿五の切,"3,830万円",愛知県一宮市木曽川町黒田字北宿五の切,名鉄名古屋本線/黒田駅 徒歩3分,140.26m2,119.24m2,5LDK,1年3ヶ月,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_c54d102551d53a1cbb48bc70f34a941c/,2026-02-01
愛知県一宮市,愛知県一宮市篭屋,3880万円,愛知県一宮市篭屋,名鉄尾西線/開明駅 徒歩22分,190.48m2,136.84m2,6LDK,3年6ヶ月,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_c5934615cbeb3a61a7946a2b8431ae1e/,2026-02-01
愛知県一宮市,愛知県一宮市北小渕字石川,790万円,愛知県一宮市北小渕字石川,,518.82m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_c597e43cd7d0385ea178265a5c8418f4/,2026-02-01
愛知県一宮市,愛知県一宮市浅井町大日比野字蛹野,"1,480万円",愛知県一宮市浅井町大日比野字蛹野,名鉄犬山線/江南駅 徒歩56分,228.44m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_c59e665cbe5430588239c5109f567288/,2026-02-01
愛知県一宮市,愛知県一宮市奥町,2980万円,愛知県一宮市奥町,名鉄尾西線/奥町駅 徒歩11分,172.03m2,121.72m2,4LDK+S（納戸）,8年10ヶ月,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_c5c5a8db396c302a9318f3e349b5f6f3/,2026-02-01
愛知県一宮市,愛知県一宮市浅井町大日比野,2790万円,愛知県一宮市浅井町大日比野,ＪＲ東海道本線/尾張一宮駅 徒歩3分 バス24分,175.5m2,95.45m2,4LDK,-,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_c5dc8a41db963eefb094a48c24dc733d/,2026-02-01
愛知県一宮市,愛知県一宮市起字堤町,"1,600万円",愛知県一宮市起字堤町,,251.23m2,170.88m2,6LDK,62年,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_c5fdf90a500d3528a74d5a9d5deddf1d/,2026-02-01
愛知県一宮市,愛知県一宮市起字河田揚,980万円,愛知県一宮市起字河田揚,,212.47m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_92efc387d0f53f448d4f57498c34cc8b/,2026-02-01
愛知県一宮市,愛知県一宮市笹野字前田向,350万円,愛知県一宮市笹野字前田向,,84.1m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_931072293ef233cda1b304f1c73e7ed9/,2026-02-01
愛知県一宮市,愛知県一宮市千秋町穂積塚本字宮西,"2,850万円",愛知県一宮市千秋町穂積塚本字宮西,名鉄犬山線/石仏駅 徒歩24分,163.17m2,105.17m2,4LDK,1ヶ月,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_93350544b6fc389e846c988c7894389d/,2026-02-01
愛知県一宮市,愛知県一宮市柳戸町,1580万円〜1680万円,愛知県一宮市柳戸町,名鉄名古屋本線/名鉄一宮駅 徒歩20分,112m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_934908aae6b03bad887b748bd531cdda/,2026-02-01
愛知県一宮市,愛知県一宮市明地字江端,"1,230万円",愛知県一宮市明地字江端,名鉄尾西線/萩原駅,204.01m2,162.58m2,5SLDK,34年9ヶ月,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_938289578139372bac38554bcb02bc25/,2026-02-01
愛知県一宮市,愛知県一宮市大和町南高井字野間,139.9万円,愛知県一宮市大和町南高井字野間,名鉄名古屋本線/島氏永駅 徒歩25分,185.0m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_938e3adf7d633ae5be956f9e0c2320f4/,2026-02-01
愛知県一宮市,愛知県一宮市明地,2980万円,愛知県一宮市明地,名鉄尾西線/玉野駅 徒歩31分,589.41m2,334.51m2,12LDK,35年10ヶ月,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_939cce0b25ad3d20b86a9945227feb5b/,2026-02-01
愛知県一宮市,愛知県一宮市今伊勢町馬寄,1380万円,愛知県一宮市今伊勢町馬寄,名鉄名古屋本線/石刀駅 徒歩20分,288.29m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_93b75fcab95839999abcf3b835410bfd/,2026-02-01
愛知県一宮市,愛知県一宮市花池,3180万円,愛知県一宮市花池,名鉄名古屋本線/妙興寺駅 徒歩13分,259.0m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_93bbe3ab694b35aab995e790aef224a3/,2026-02-01
愛知県一宮市,愛知県一宮市西島町２丁目,"1,880万円",愛知県一宮市西島町２丁目,東海道本線/尾張一宮駅 徒歩3分 バス10分,165.28m2,118.0m2,7DK,51年9ヶ月,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_93d29b724dd93089b46de2c7a57c5d2d/,2026-02-01
愛知県一宮市,愛知県一宮市光明寺字千馬,544.5万円,愛知県一宮市光明寺字千馬,東海道本線/木曽川駅 徒歩37分,300.0m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_940e7f4d1fef310b8991dcd169970752/,2026-02-01
愛知県一宮市,愛知県一宮市萩原町富田方字柳原,"1,180万円",愛知県一宮市萩原町富田方字柳原,名鉄尾西線/二子駅 徒歩14分,242.77m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_942988f4bd3c317aa4e65b7a24b985e1/,2026-02-01
愛知県一宮市,愛知県一宮市今伊勢町本神戸字筋替,"3,198万円",愛知県一宮市今伊勢町本神戸字筋替,名鉄尾西線/西一宮駅 徒歩20分,113.35m2,103.93m2,4LDK,2年,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_9431f9a52ce3331a95cf1bfbe2351575/,2026-02-01
愛知県一宮市,愛知県一宮市光明寺字北道手,700万円,愛知県一宮市光明寺字北道手,東海道本線/木曽川駅 徒歩20分,330.0m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_945046e05334320e973d51ecde5dc3d3/,2026-02-01
愛知県一宮市,愛知県一宮市千秋町加茂字流,282.7万円,愛知県一宮市千秋町加茂字流,名鉄犬山線/布袋駅 徒歩29分,170.0m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_945e7caedf8536bdb7921f512e5c5ece/,2026-02-01
愛知県一宮市,愛知県一宮市萩原町西御堂字三反田,514万円,愛知県一宮市萩原町西御堂字三反田,名鉄尾西線/玉野駅 徒歩37分,514.0m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_94a0f013638f3a1e9f641074bf788e2f/,2026-02-01
愛知県一宮市,愛知県一宮市北丹町,3880万円,愛知県一宮市北丹町,名鉄名古屋本線/今伊勢駅 徒歩20分,257.38m2,130.62m2,3LDK+S（納戸）,4年8ヶ月,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_94a17b3a09ca352c96e31d5599522058/,2026-02-01
愛知県一宮市,愛知県一宮市浅井町小日比野,2690万円,愛知県一宮市浅井町小日比野,名鉄犬山線/江南駅 徒歩46分,160.77m2,109.73m2,4LDK,-,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_94ab25ead8133d428df7b7dda64c2ead/,2026-02-01
愛知県一宮市,愛知県一宮市下沼町,3090万円,愛知県一宮市下沼町,ＪＲ東海道本線/尾張一宮駅 徒歩31分,111.96m2,100.44m2,2LDK+S（納戸）,新築,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_94c8c6b5f8df33989f275156df6d0037/,2026-02-01
愛知県一宮市,愛知県一宮市千秋町加納馬場字清水,655万円,愛知県一宮市千秋町加納馬場字清水,名鉄犬山線/布袋駅 徒歩21分,216.5m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_94e95b66e33739cca809112887fabd20/,2026-02-01
愛知県一宮市,愛知県一宮市千秋町佐野字郷前,"4,500万円",愛知県一宮市千秋町佐野字郷前,名鉄犬山線/石仏駅 徒歩17分,180.1m2,133.31m2,3SLDK,9年5ヶ月,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_9b39884a9ef23215b0014330748c9e4a/,2026-02-01
愛知県一宮市,愛知県一宮市木曽川町黒田,3880万円,愛知県一宮市木曽川町黒田,ＪＲ東海道本線/木曽川駅 徒歩3分,88.72m2,116.33m2,5LDK,9ヶ月,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_9b488d4bcfce3ff49cb43bab6a5b622f/,2026-02-01
愛知県一宮市,愛知県一宮市花池,2740万円,愛知県一宮市花池,名鉄名古屋本線/妙興寺駅 徒歩2分,164.0m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_9b52f91878da38a79b3323dee557300e/,2026-02-01
愛知県一宮市,愛知県一宮市三条,1780万円,愛知県一宮市三条,名鉄尾西線/二子駅 徒歩35分,474.77m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_9bc973d4fdf3300f9aa401b21eae5ea5/,2026-02-01
愛知県一宮市,愛知県一宮市定水寺,2590万円,愛知県一宮市定水寺,"名鉄犬山線/布袋駅,名鉄犬山線/石仏駅,名鉄名古屋本線/名鉄一宮駅",166.65m2,99.38m2,4LDK,4ヶ月,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_9c6c2c0657a03708979d5f76f7348787/,2026-02-01
愛知県一宮市,愛知県一宮市木曽川町黒田字錦里,"2,500万円",愛知県一宮市木曽川町黒田字錦里,名鉄名古屋本線/新木曽川駅 徒歩8分,419.28m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_9c9c5153ab64395ebf4e2d3a8f211023/,2026-02-01
愛知県一宮市,愛知県一宮市奥町,2980万円,愛知県一宮市奥町,名鉄尾西線/奥町駅 徒歩8分,155.94m2,107.09m2,4LDK,11年10ヶ月,https://myhome.nifty.com/chuko-ikkodate/aichi/ichinomiyashi_ct/detail_9cc1318577b830119c6eacbea48c7de6/,2026-02-01
愛知県一宮市,愛知県一宮市小信中島,5360万円,愛知県一宮市小信中島,名鉄尾西線/奥町駅 徒歩29分,707.68m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_9ceb0072b5533cf7bdabb5880335c9dc/,2026-02-01
愛知県一宮市,愛知県一宮市浅井町大野,698万円,愛知県一宮市浅井町大野,ＪＲ東海道本線/尾張一宮駅 徒歩4分 バス24分,262.14m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_88a9576497513ce6bc0ac966bae820eb/,2026-02-01
愛知県一宮市,愛知県一宮市大和町戸塚,1248万円,愛知県一宮市大和町戸塚,名鉄名古屋本線/妙興寺駅 徒歩15分,210.19m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_88d0c7e4ec953a01987a1873a36eb184/,2026-02-01
愛知県一宮市,愛知県一宮市多加木1丁目27-15,"1,790万円",愛知県一宮市多加木1丁目27-15,名鉄名古屋本線/妙興寺駅 徒歩22分,105.02m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_88d122f4461536fda347766bc335c29a/,2026-02-01
愛知県一宮市,愛知県一宮市西五城,2190万円,愛知県一宮市西五城,名鉄尾西線/萩原駅 徒歩42分,298.62m2,95.58m2,4LDK+S（納戸）,新築,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_88ff2b7778813d34b932eca0450e94de/,2026-02-01
愛知県一宮市,愛知県一宮市玉野字山,498万円,愛知県一宮市玉野字山,名鉄尾西線/玉野駅 徒歩10分,345.2m2,,,,https://myhome.nifty.com/tochi/aichi/ichinomiyashi_ct/detail_891cf33453443fd0b9e5ff77d6a31ea2/,2026-02-01
愛知県一宮市,愛知県一宮市大和町馬引字焼野,"3,930万円",愛知県一宮市大和町馬引字焼野,東海道本線/尾張一宮駅 徒歩29分,187.44m2,135.57m2,5LDK,2ヶ月,https://myhome.nifty.com/shinchiku-ikkodate/aichi/ichinomiyashi_ct/detail_896eef93413f3a70a982c5958e603f38/,2026-02-01
